Number of reserved features,Faithfulness score,Interpreter,Model
21,0.3689,LORE,RF
22,0.3689,LORE,RF
23,0.3689,LORE,RF
24,0.3689,LORE,RF
25,0.3689,LORE,RF
26,0.3689,LORE,RF
27,0.3689,LORE,RF
28,0.3689,LORE,RF
29,0.3689,LORE,RF
30,0.3689,LORE,RF
31,0.3689,LORE,RF
32,0.3689,LORE,RF
33,0.3689,LORE,RF
34,0.3689,LORE,RF
35,0.3689,LORE,RF
36,0.3689,LORE,RF
37,0.3689,LORE,RF
38,0.3689,LORE,RF
39,0.3689,LORE,RF
40,0.3689,LORE,RF
41,0.3689,LORE,RF
42,0.3689,LORE,RF
43,0.3689,LORE,RF
44,0.3689,LORE,RF
45,0.3689,LORE,RF
46,0.3689,LORE,RF
47,0.3689,LORE,RF
48,0.3689,LORE,RF
49,0.3689,LORE,RF
50,0.3689,LORE,RF
51,0.3689,LORE,RF
52,0.3689,LORE,RF
53,0.3689,LORE,RF
54,0.3689,LORE,RF
55,0.3689,LORE,RF
56,0.3689,LORE,RF
57,0.3689,LORE,RF
1,0.6379,SHAP,SVC
2,0.6379,SHAP,SVC
3,0.6379,SHAP,SVC
4,0.6379,SHAP,SVC
5,0.6379,SHAP,SVC
6,0.6379,SHAP,SVC
7,0.6379,SHAP,SVC
8,0.6379,SHAP,SVC
9,0.3621,SHAP,SVC
10,0.3621,SHAP,SVC
11,0.3621,SHAP,SVC
12,0.3621,SHAP,SVC
13,0.3621,SHAP,SVC
14,0.3621,SHAP,SVC
15,0.3621,SHAP,SVC
16,0.3621,SHAP,SVC
17,0.3621,SHAP,SVC
18,0.3621,SHAP,SVC
19,0.3621,SHAP,SVC
20,0.3621,SHAP,SVC
21,0.3621,SHAP,SVC
22,0.3621,SHAP,SVC
23,0.3621,SHAP,SVC
24,0.3634,SHAP,SVC
25,0.3649,SHAP,SVC
26,0.3683,SHAP,SVC
27,0.3795,SHAP,SVC
28,0.4043,SHAP,SVC
29,0.4109,SHAP,SVC
30,0.4326,SHAP,SVC
31,0.4879,SHAP,SVC
32,0.5217,SHAP,SVC
33,0.5177,SHAP,SVC
34,0.6124,SHAP,SVC
35,0.5407,SHAP,SVC
36,0.5525,SHAP,SVC
37,0.5736,SHAP,SVC
38,0.5245,SHAP,SVC
39,0.5357,SHAP,SVC
40,0.5189,SHAP,SVC
41,0.5363,SHAP,SVC
42,0.5578,SHAP,SVC
43,0.5916,SHAP,SVC
44,0.6099,SHAP,SVC
45,0.6556,SHAP,SVC
46,0.6401,SHAP,SVC
47,0.8298,SHAP,SVC
48,0.7152,SHAP,SVC
