Number of removed features,validity score,Interpreter,Model
13,0.7955,SHAP,MLP
14,0.9091,SHAP,MLP
15,0.9091,SHAP,MLP
16,0.9545,SHAP,MLP
17,0.9773,SHAP,MLP
18,1,SHAP,MLP
19,1,SHAP,MLP
20,1,SHAP,MLP
21,1,SHAP,MLP
22,1,SHAP,MLP
23,1,SHAP,MLP
24,1,SHAP,MLP
25,1,SHAP,MLP
1,0,LIME,MLP
2,0.0455,LIME,MLP
3,0.0909,LIME,MLP
4,0.1364,LIME,MLP
5,0.1136,LIME,MLP
6,0.1818,LIME,MLP
7,0.2273,LIME,MLP
8,0.25,LIME,MLP
9,0.25,LIME,MLP
10,0.2045,LIME,MLP
11,0.1818,LIME,MLP
12,0.2955,LIME,MLP
13,0.4545,LIME,MLP
14,0.5909,LIME,MLP
15,0.6818,LIME,MLP
16,0.7727,LIME,MLP
17,0.7955,LIME,MLP
18,0.8636,LIME,MLP
19,0.9318,LIME,MLP
20,0.9545,LIME,MLP
21,0.9773,LIME,MLP
22,1,LIME,MLP
23,1,LIME,MLP
24,1,LIME,MLP
25,1,LIME,MLP
1,0.0227,Anchor,MLP
2,0.0682,Anchor,MLP
3,0.0909,Anchor,MLP
4,0.1364,Anchor,MLP
5,0.1364,Anchor,MLP
6,0.1364,Anchor,MLP
7,0.1364,Anchor,MLP
8,0.1364,Anchor,MLP
9,0.1364,Anchor,MLP
10,0.1364,Anchor,MLP
11,0.1364,Anchor,MLP
12,0.1364,Anchor,MLP
13,0.1364,Anchor,MLP
14,0.1364,Anchor,MLP
15,0.1364,Anchor,MLP
16,0.1364,Anchor,MLP
17,0.1364,Anchor,MLP
18,0.1364,Anchor,MLP
19,0.1364,Anchor,MLP
20,0.1364,Anchor,MLP
21,0.1364,Anchor,MLP
22,0.1364,Anchor,MLP
23,0.1364,Anchor,MLP
24,0.1364,Anchor,MLP
25,0.1364,Anchor,MLP
1,0.1364,LORE,MLP
2,0.1591,LORE,MLP
3,0.1364,LORE,MLP
4,0.1364,LORE,MLP
5,0.1364,LORE,MLP
6,0.1364,LORE,MLP
7,0.1364,LORE,MLP
8,0.1364,LORE,MLP
9,0.1364,LORE,MLP
10,0.1364,LORE,MLP
11,0.1364,LORE,MLP
12,0.1364,LORE,MLP
13,0.1364,LORE,MLP
14,0.1364,LORE,MLP
15,0.1364,LORE,MLP
16,0.1364,LORE,MLP
17,0.1364,LORE,MLP
18,0.1364,LORE,MLP
19,0.1364,LORE,MLP
20,0.1364,LORE,MLP
21,0.1364,LORE,MLP
22,0.1364,LORE,MLP
23,0.1364,LORE,MLP
24,0.1364,LORE,MLP
25,0.1364,LORE,MLP
