Number of removed features,Robustness score,Interpreter,Model
23,0.9889,LORE,SVC
24,0.9889,LORE,SVC
25,0.9889,LORE,SVC
1,0.9444,SHAP,MLP
2,0.9333,SHAP,MLP
3,0.8889,SHAP,MLP
4,0.9111,SHAP,MLP
5,0.9,SHAP,MLP
6,0.8667,SHAP,MLP
7,0.8556,SHAP,MLP
8,0.7556,SHAP,MLP
9,0.7778,SHAP,MLP
10,0.8222,SHAP,MLP
11,0.8111,SHAP,MLP
12,0.8444,SHAP,MLP
13,0.8444,SHAP,MLP
14,0.8556,SHAP,MLP
15,0.8556,SHAP,MLP
16,0.8889,SHAP,MLP
17,0.9,SHAP,MLP
18,0.9444,SHAP,MLP
19,0.9556,SHAP,MLP
20,0.9556,SHAP,MLP
21,0.9444,SHAP,MLP
22,0.9778,SHAP,MLP
23,1,SHAP,MLP
24,1,SHAP,MLP
25,1,SHAP,MLP
1,0.9222,LIME,MLP
2,0.8333,LIME,MLP
3,0.7889,LIME,MLP
4,0.7778,LIME,MLP
5,0.8111,LIME,MLP
6,0.8,LIME,MLP
7,0.7778,LIME,MLP
8,0.7556,LIME,MLP
9,0.8111,LIME,MLP
10,0.7444,LIME,MLP
11,0.7778,LIME,MLP
12,0.6778,LIME,MLP
13,0.7,LIME,MLP
14,0.6778,LIME,MLP
15,0.7,LIME,MLP
16,0.6889,LIME,MLP
17,0.7,LIME,MLP
18,0.7444,LIME,MLP
19,0.7889,LIME,MLP
20,0.8556,LIME,MLP
21,0.9222,LIME,MLP
22,0.9667,LIME,MLP
23,1,LIME,MLP
24,1,LIME,MLP
25,1,LIME,MLP
1,0.9111,Anchor,MLP
2,0.7444,Anchor,MLP
3,0.7111,Anchor,MLP
4,0.6222,Anchor,MLP
5,0.6111,Anchor,MLP
6,0.6111,Anchor,MLP
7,0.6111,Anchor,MLP
8,0.6111,Anchor,MLP
9,0.6111,Anchor,MLP
10,0.6111,Anchor,MLP
11,0.6111,Anchor,MLP
12,0.6111,Anchor,MLP
13,0.6111,Anchor,MLP
14,0.6111,Anchor,MLP
15,0.6111,Anchor,MLP
16,0.6111,Anchor,MLP
17,0.6111,Anchor,MLP
18,0.6111,Anchor,MLP
19,0.6111,Anchor,MLP
20,0.6111,Anchor,MLP
21,0.6111,Anchor,MLP
22,0.6111,Anchor,MLP
23,0.6111,Anchor,MLP
24,0.6111,Anchor,MLP
25,0.6111,Anchor,MLP
1,0.8667,LORE,MLP
2,0.8222,LORE,MLP
3,0.7667,LORE,MLP
4,0.7444,LORE,MLP
5,0.7333,LORE,MLP
6,0.6889,LORE,MLP
7,0.6778,LORE,MLP
8,0.6778,LORE,MLP
9,0.6778,LORE,MLP
10,0.6778,LORE,MLP
11,0.6778,LORE,MLP
12,0.6778,LORE,MLP
13,0.6778,LORE,MLP
14,0.6778,LORE,MLP
15,0.6778,LORE,MLP
16,0.6778,LORE,MLP
17,0.6778,LORE,MLP
18,0.6778,LORE,MLP
19,0.6778,LORE,MLP
20,0.6778,LORE,MLP
21,0.6778,LORE,MLP
22,0.6778,LORE,MLP
23,0.6778,LORE,MLP
24,0.6778,LORE,MLP
25,0.6778,LORE,MLP
