Number of reserved features,Faithfulness score,Interpreter,Model
12,0.5217,LORE,SVC
13,0.5217,LORE,SVC
14,0.5217,LORE,SVC
15,0.5217,LORE,SVC
16,0.5217,LORE,SVC
17,0.5217,LORE,SVC
18,0.5217,LORE,SVC
19,0.5217,LORE,SVC
20,0.5217,LORE,SVC
21,0.5217,LORE,SVC
22,0.5217,LORE,SVC
23,0.5217,LORE,SVC
24,0.5217,LORE,SVC
25,0.5217,LORE,SVC
1,0.5749,SHAP,MLP
2,0.7198,SHAP,MLP
3,0.6957,SHAP,MLP
4,0.5894,SHAP,MLP
5,0.5604,SHAP,MLP
6,0.8068,SHAP,MLP
7,0.8937,SHAP,MLP
8,0.8841,SHAP,MLP
9,0.8986,SHAP,MLP
10,0.9372,SHAP,MLP
11,0.9275,SHAP,MLP
12,0.8937,SHAP,MLP
13,0.8647,SHAP,MLP
14,0.8841,SHAP,MLP
15,0.8744,SHAP,MLP
16,0.8357,SHAP,MLP
17,0.8986,SHAP,MLP
18,0.9372,SHAP,MLP
19,0.9034,SHAP,MLP
20,0.9179,SHAP,MLP
21,0.9034,SHAP,MLP
22,0.9179,SHAP,MLP
23,0.9807,SHAP,MLP
24,0.9855,SHAP,MLP
25,1,SHAP,MLP
1,0.43,LIME,MLP
2,0.43,LIME,MLP
3,0.5652,LIME,MLP
4,0.57,LIME,MLP
5,0.599,LIME,MLP
6,0.43,LIME,MLP
7,0.57,LIME,MLP
8,0.5797,LIME,MLP
9,0.57,LIME,MLP
10,0.5894,LIME,MLP
11,0.57,LIME,MLP
12,0.57,LIME,MLP
13,0.6329,LIME,MLP
14,0.6715,LIME,MLP
15,0.8502,LIME,MLP
16,0.8213,LIME,MLP
17,0.8357,LIME,MLP
18,0.8986,LIME,MLP
19,0.8986,LIME,MLP
20,0.9179,LIME,MLP
21,0.8551,LIME,MLP
22,0.9275,LIME,MLP
23,0.942,LIME,MLP
24,0.9758,LIME,MLP
25,1,LIME,MLP
1,0.5217,Anchor,MLP
2,0.5797,Anchor,MLP
3,0.5797,Anchor,MLP
4,0.5797,Anchor,MLP
5,0.5894,Anchor,MLP
6,0.5894,Anchor,MLP
7,0.5894,Anchor,MLP
8,0.5894,Anchor,MLP
9,0.5894,Anchor,MLP
10,0.5894,Anchor,MLP
11,0.5894,Anchor,MLP
12,0.5894,Anchor,MLP
13,0.5894,Anchor,MLP
14,0.5894,Anchor,MLP
15,0.5894,Anchor,MLP
16,0.5942,Anchor,MLP
17,0.6522,Anchor,MLP
18,0.6522,Anchor,MLP
19,0.6522,Anchor,MLP
20,0.6522,Anchor,MLP
21,0.6522,Anchor,MLP
22,0.6522,Anchor,MLP
23,0.6522,Anchor,MLP
24,0.6522,Anchor,MLP
25,0.6522,Anchor,MLP
1,0.43,LORE,MLP
2,0.43,LORE,MLP
3,0.43,LORE,MLP
4,0.43,LORE,MLP
5,0.5024,LORE,MLP
6,0.5604,LORE,MLP
7,0.5604,LORE,MLP
8,0.5604,LORE,MLP
9,0.5604,LORE,MLP
10,0.5604,LORE,MLP
11,0.5604,LORE,MLP
12,0.5604,LORE,MLP
13,0.5604,LORE,MLP
14,0.5604,LORE,MLP
15,0.5604,LORE,MLP
16,0.5604,LORE,MLP
17,0.5604,LORE,MLP
18,0.5604,LORE,MLP
19,0.5604,LORE,MLP
20,0.5604,LORE,MLP
21,0.5604,LORE,MLP
22,0.5604,LORE,MLP
23,0.5604,LORE,MLP
24,0.5604,LORE,MLP
25,0.5604,LORE,MLP
