Number of removed features,Validity score,Interpreter,Model
1,0.713,LORE,SVC
2,0.9537,LORE,SVC
3,0.9907,LORE,SVC
4,0.9907,LORE,SVC
5,0.9907,LORE,SVC
6,0.9907,LORE,SVC
7,0.9907,LORE,SVC
8,0.9907,LORE,SVC
9,0.9907,LORE,SVC
10,0.9907,LORE,SVC
11,0.9907,LORE,SVC
12,0.9907,LORE,SVC
13,0.9907,LORE,SVC
14,0.9907,LORE,SVC
15,0.9907,LORE,SVC
16,0.9907,LORE,SVC
17,0.9907,LORE,SVC
18,0.9907,LORE,SVC
19,0.9907,LORE,SVC
20,0.9907,LORE,SVC
21,0.9907,LORE,SVC
22,0.9907,LORE,SVC
23,0.9907,LORE,SVC
24,0.9907,LORE,SVC
25,0.9907,LORE,SVC
26,0.9907,LORE,SVC
27,0.9907,LORE,SVC
28,0.9907,LORE,SVC
29,0.9907,LORE,SVC
30,0.9907,LORE,SVC
1,0.0156,SHAP,MLP
2,0.0781,SHAP,MLP
3,0.1094,SHAP,MLP
4,0.1563,SHAP,MLP
5,0.2031,SHAP,MLP
6,0.25,SHAP,MLP
7,0.25,SHAP,MLP
8,0.25,SHAP,MLP
9,0.2813,SHAP,MLP
10,0.3125,SHAP,MLP
11,0.3125,SHAP,MLP
12,0.375,SHAP,MLP
13,0.4219,SHAP,MLP
14,0.4219,SHAP,MLP
15,0.4688,SHAP,MLP
16,0.5,SHAP,MLP
17,0.5469,SHAP,MLP
18,0.6406,SHAP,MLP
19,0.6875,SHAP,MLP
20,0.7031,SHAP,MLP
21,0.7344,SHAP,MLP
22,0.75,SHAP,MLP
23,0.8281,SHAP,MLP
24,0.8281,SHAP,MLP
25,0.8438,SHAP,MLP
26,0.875,SHAP,MLP
27,0.8906,SHAP,MLP
28,0.9063,SHAP,MLP
29,0.9531,SHAP,MLP
30,1,SHAP,MLP
1,0.0156,LIME,MLP
2,0.1094,LIME,MLP
3,0.2656,LIME,MLP
4,0.4531,LIME,MLP
5,0.5625,LIME,MLP
6,0.5625,LIME,MLP
7,0.6094,LIME,MLP
8,0.6094,LIME,MLP
9,0.6563,LIME,MLP
10,0.6719,LIME,MLP
11,0.6563,LIME,MLP
12,0.6563,LIME,MLP
13,0.6875,LIME,MLP
14,0.7344,LIME,MLP
15,0.7344,LIME,MLP
16,0.75,LIME,MLP
17,0.8125,LIME,MLP
18,0.8281,LIME,MLP
19,0.8281,LIME,MLP
20,0.8281,LIME,MLP
21,0.8438,LIME,MLP
22,0.8438,LIME,MLP
23,0.8906,LIME,MLP
24,0.9063,LIME,MLP
25,0.9063,LIME,MLP
26,0.9219,LIME,MLP
27,0.9375,LIME,MLP
28,0.9531,LIME,MLP
29,0.9844,LIME,MLP
30,1,LIME,MLP
1,0,Anchor,MLP
2,0.0156,Anchor,MLP
3,0.0156,Anchor,MLP
4,0.0313,Anchor,MLP
5,0.0313,Anchor,MLP
6,0.0313,Anchor,MLP
7,0.0313,Anchor,MLP
8,0.0313,Anchor,MLP
9,0.0313,Anchor,MLP
10,0.0313,Anchor,MLP
11,0.0313,Anchor,MLP
12,0.0313,Anchor,MLP
13,0.0313,Anchor,MLP
14,0.0313,Anchor,MLP
15,0.0313,Anchor,MLP
16,0.0313,Anchor,MLP
17,0.0313,Anchor,MLP
18,0.0313,Anchor,MLP
19,0.0313,Anchor,MLP
20,0.0313,Anchor,MLP
21,0.0313,Anchor,MLP
22,0.0313,Anchor,MLP
23,0.0313,Anchor,MLP
24,0.0313,Anchor,MLP
25,0.0313,Anchor,MLP
26,0.0313,Anchor,MLP
27,0.0313,Anchor,MLP
28,0.0313,Anchor,MLP
29,0.0313,Anchor,MLP
30,0.0313,Anchor,MLP
1,0.1094,LORE,MLP
2,0.1563,LORE,MLP
3,0.25,LORE,MLP
4,0.2656,LORE,MLP
5,0.3125,LORE,MLP
6,0.3281,LORE,MLP
7,0.3281,LORE,MLP
8,0.3281,LORE,MLP
9,0.3281,LORE,MLP
10,0.3281,LORE,MLP
11,0.3281,LORE,MLP
12,0.3281,LORE,MLP
13,0.3281,LORE,MLP
14,0.3281,LORE,MLP
15,0.3281,LORE,MLP
16,0.3281,LORE,MLP
