Number of reserved features,Faithfulness score,Interpreter,Model
19,0.6694,LIME,SVC
20,0.6694,LIME,SVC
21,0.6694,LIME,SVC
22,0.6694,LIME,SVC
23,0.6694,LIME,SVC
24,0.6694,LIME,SVC
25,0.3306,LIME,SVC
26,0.3306,LIME,SVC
27,0.3306,LIME,SVC
28,0.3306,LIME,SVC
29,0.3306,LIME,SVC
30,0.3306,LIME,SVC
31,0.3306,LIME,SVC
32,0.3306,LIME,SVC
33,0.3306,LIME,SVC
34,1,LIME,SVC
1,0.3306,Anchor,SVC
2,0.3306,Anchor,SVC
3,0.3306,Anchor,SVC
4,0.3306,Anchor,SVC
5,0.3306,Anchor,SVC
6,0.3306,Anchor,SVC
7,0.3306,Anchor,SVC
8,0.3306,Anchor,SVC
9,0.3306,Anchor,SVC
10,0.3306,Anchor,SVC
11,0.3306,Anchor,SVC
12,0.3306,Anchor,SVC
13,0.3306,Anchor,SVC
14,0.3306,Anchor,SVC
15,0.3306,Anchor,SVC
16,0.3306,Anchor,SVC
17,0.3306,Anchor,SVC
18,0.3306,Anchor,SVC
19,0.3306,Anchor,SVC
20,0.3306,Anchor,SVC
21,0.3306,Anchor,SVC
22,0.3306,Anchor,SVC
23,0.3306,Anchor,SVC
24,0.3306,Anchor,SVC
25,0.3306,Anchor,SVC
26,0.3306,Anchor,SVC
27,0.3306,Anchor,SVC
28,0.3306,Anchor,SVC
29,0.3306,Anchor,SVC
30,0.3306,Anchor,SVC
31,0.3306,Anchor,SVC
32,0.3306,Anchor,SVC
33,0.3306,Anchor,SVC
34,0.3306,Anchor,SVC
1,0.6694,LORE,SVC
2,0.6694,LORE,SVC
3,0.6694,LORE,SVC
4,0.6694,LORE,SVC
5,0.6694,LORE,SVC
6,0.6694,LORE,SVC
7,0.6694,LORE,SVC
8,0.6694,LORE,SVC
9,0.6694,LORE,SVC
10,0.6694,LORE,SVC
11,0.6694,LORE,SVC
12,0.6694,LORE,SVC
13,0.6694,LORE,SVC
14,0.6694,LORE,SVC
15,0.6694,LORE,SVC
16,0.6694,LORE,SVC
17,0.6694,LORE,SVC
18,0.6694,LORE,SVC
19,0.6694,LORE,SVC
20,0.6694,LORE,SVC
21,0.6694,LORE,SVC
22,0.6694,LORE,SVC
23,0.6694,LORE,SVC
24,0.6694,LORE,SVC
25,0.6694,LORE,SVC
26,0.6694,LORE,SVC
27,0.6694,LORE,SVC
28,0.6694,LORE,SVC
29,0.6694,LORE,SVC
30,0.6694,LORE,SVC
31,0.6694,LORE,SVC
32,0.6694,LORE,SVC
33,0.6694,LORE,SVC
34,0.6694,LORE,SVC
1,0.2898,SHAP,MLP
2,0.2898,SHAP,MLP
3,0.2898,SHAP,MLP
4,0.2898,SHAP,MLP
5,0.2898,SHAP,MLP
6,0.2898,SHAP,MLP
7,0.2898,SHAP,MLP
8,0.2898,SHAP,MLP
9,0.2898,SHAP,MLP
10,0.2898,SHAP,MLP
11,0.2898,SHAP,MLP
12,0.2898,SHAP,MLP
13,0.2898,SHAP,MLP
14,0.2898,SHAP,MLP
15,0.2898,SHAP,MLP
16,0.2898,SHAP,MLP
17,0.2898,SHAP,MLP
18,0.2898,SHAP,MLP
19,0.2898,SHAP,MLP
20,0.2898,SHAP,MLP
21,0.2898,SHAP,MLP
22,0.2898,SHAP,MLP
23,0.2857,SHAP,MLP
24,0.3714,SHAP,MLP
25,0.2898,SHAP,MLP
26,0.2939,SHAP,MLP
27,0.7265,SHAP,MLP
28,0.7184,SHAP,MLP
29,0.7347,SHAP,MLP
30,0.7143,SHAP,MLP
31,0.8367,SHAP,MLP
32,0.8898,SHAP,MLP
33,0.898,SHAP,MLP
34,1,SHAP,MLP
1,0.2898,LIME,MLP
2,0.7102,LIME,MLP
3,0.2898,LIME,MLP
4,0.2898,LIME,MLP
5,0.7102,LIME,MLP
6,0.2898,LIME,MLP
7,0.7102,LIME,MLP
8,0.2898,LIME,MLP
9,0.2898,LIME,MLP
10,0.2898,LIME,MLP
11,0.2898,LIME,MLP
12,0.7102,LIME,MLP
13,0.7102,LIME,MLP
14,0.7102,LIME,MLP
15,0.7102,LIME,MLP
16,0.7102,LIME,MLP
17,0.7102,LIME,MLP
18,0.7102,LIME,MLP
